point_from,point_to,weight
37292428,1398605364,1
23699500,351399926,1
14707553,35084627,2
19898890,3063697555,1
79459832,2459169938,2
245158192,19178668,1
247696871,2402894750,1
2360323201,2790288915,1
431658017,14711982,2
51271144,75142659,1
23411203,31069840,2
35588686,17263897,1
3043106869,599745022,1
714051386,350209691,1
752078492,340376505,1
170276973,2710541450,1
1955720384,2949949244,2
135132634,1059207842,2
37413076,99233470,2
2360323201,23901130,1
714051386,79459832,2
23747654,1557009919,2
21184634,340376505,1
424617920,599745022,1
22859657,20644420,1
47368893,2571856887,3
23935607,19178668,1
99233470,275622946,2
25807167,25227822,1
24144135,73850532,2
2473092354,404444443,1
41298522,1289990616,1
704903653,130417544,1
1333946204,1099683991,1
247696871,2961908465,2
193700451,138294089,1
2322065402,450414092,2
2360323201,410543377,1
181892978,99233470,2
38106977,132445467,1
138294089,2949949244,2
861839144,1040568314,3
337995180,254941287,1
39935935,546641586,1
22863660,19178668,1
714051386,1240932972,1
152604471,337995180,2
1059207842,36327171,1
2105021,1715460890,2
359236505,526411749,2
21177426,25227822,2
162266849,254941287,2
413779729,249985329,2
21552376,176294000,2
20569411,1523549617,1
347048522,9444712,2
24669894,294340629,1
26452697,157996080,2
2891662632,99233470,2
1017123967,486241691,2
23567167,77149862,2
187903389,48951240,1
98605029,26198761,1
178183112,152604471,2
34472348,37179327,2
19707925,599745022,1
26373938,14711982,2
61348039,1523942082,2
264598651,2483605494,1
2459169938,108012664,1
2360323201,532938116,1
38388324,84822058,2
1955720384,64980891,2
177134723,20644420,1
2587278392,2949949244,2
476350851,558279290,2
289846547,343280656,1
144840737,17569860,1
2941433214,23901130,1
21177426,37200824,2
535180227,19580931,2
15374531,272701790,1
2360323201,2587278392,1
39935935,1874504276,1
36608957,26731498,2
34760378,61348039,2
21460983,750772255,1
144840737,25807167,2
1580228064,2105021,2
450414092,436502521,1
99233470,23535665,2
730916496,20644420,1
187138183,19580931,2
2601524623,272701790,1
2941433214,2294201833,1
46076472,20644420,1
247696871,20644420,1
23757424,31103336,1
193700451,1557009919,2
2360323201,1600557554,1
79459832,2408638574,1
480300122,26452697,2
2437652922,2360323201,1
46076472,2831363550,1
79459832,71416635,2
2105021,2797758762,2
54522269,25807167,2
34161812,340376505,1
12201452,593577212,1
33134609,772477398,1
99233470,73850532,2
198773386,494505475,2
347048522,34760378,2
19440175,20644420,1
153410226,49477936,2
412180717,198773386,1
2322065402,2831363550,2
573614242,340376505,1
30544168,599745022,1
2360323201,21848593,1
162266849,272701790,2
245158192,261162002,1
2941433214,14711982,1
21738556,26731498,2
2360323201,99233470,1
193700451,885751759,2
515078963,275622946,1
247696871,2408638574,1
1059207842,43656765,1
36951856,450414092,2
599185040,450414092,2
19580931,340376505,1
30183481,187138183,1
450414092,61422376,2
144840737,19440175,1
351399926,413779729,1
68945794,416081088,1
77182888,23411203,2
238768817,436502521,2
376679416,599745022,1
17569860,116074537,1
1415578772,471589631,1
618881569,622582233,1
145331030,2710541450,1
489247802,22607317,2
23411203,1537918573,2
2360323201,33894316,2
26452697,20644420,1
15641984,153410226,2
22116112,1600557554,2
1632123685,19440175,1
86277690,2797758762,1
24791335,37600849,2
590939369,294340629,1
38398282,35466620,1
556661091,450414092,2
39935935,29425573,2
2640990344,459256894,2
19898890,144840737,1
2322065402,153410226,2
480300122,105459936,2
189467550,226904642,1
130123715,19524046,2
135132634,22135526,2
19913546,327926324,2
31069840,1902051997,2
2710900951,1920668550,2
162266849,1532819112,1
22223971,20644420,1
193700451,36327171,2
26373938,505651301,1
907734912,515078963,2
178183112,245348903,2
22863660,14711982,2
21828233,34153781,2
21848593,275622946,1
1580228064,599745022,2
64980891,590023803,1
773658752,270294818,1
14223097,359236505,1
130417544,324746450,1
170276973,1059207842,2
36327171,254941287,1
16947907,1535422453,2
26452697,2408638574,1
153410226,338382027,1
943210460,3017288564,1
750772255,157996080,2
22871737,22135526,2
76687298,25794695,1
351399926,298498586,1
17051256,297877558,2
35084627,23935607,2
252930973,37659338,1
22874109,340376505,1
2437652922,2294201833,1
27608469,2831363550,1
22607317,1015170002,2
2473092354,2992750166,1
359236505,327926324,2
2360323201,236763329,1
22840845,39242479,2
15902589,358681085,1
2360323201,177134723,2
36951856,515078963,2
9444022,1512607639,1
22859657,25807167,2
38388324,35172803,1
340376505,25794695,2
27176695,19524046,1
1512607639,556661091,1
24152253,20644420,1
1955720384,359236505,3
436502521,35466620,1
27225245,181892978,2
2105021,19440175,2
414244661,23699500,2
599745022,38106977,2
25227822,21552376,2
264598651,23747654,2
254941287,29927621,2
826701510,2437652922,2
2584746324,272701790,1
2992750166,388206160,1
152604471,38106977,2
275622946,2878701780,1
719655337,1132200937,2
1484651119,19524046,2
289846547,3017288564,1
405453388,51271144,1
2470821504,337995180,1
232728981,2294201833,2
467193917,245158192,1
2941433214,359236505,1
545159350,463523296,1
327926324,340376505,1
727894124,2273823290,1
15641984,590023803,1
220616405,340376505,1
266503061,340376505,1
515078963,340376505,1
79459832,170276973,2
193109850,99233470,1
33134609,556661091,1
376679416,340376505,1
309579914,20644420,1
2360323201,2473092354,2
714051386,20644420,1
249953574,372588162,1
436502521,20644420,1
26403375,29406736,1
2322065402,590023803,1
180755998,19178668,1
64980891,376679416,1
614204775,20644420,1
39935935,450414092,2
2105021,337995180,1
64855519,130123715,1
17569860,298498586,1
17227586,130417544,1
37413076,193700451,2
359236505,2459169938,3
113312341,80816781,2
826701510,14711982,1
1695442555,20644420,1
714051386,77182888,2
410748351,1580228064,1
272701790,160132829,2
21177426,261162002,1
36951856,170276973,1
289846547,20644420,1
26731498,19178668,1
359236505,502757492,2
2287758954,414244661,1
25257175,201303134,1
20569411,41298522,2
193700451,267133998,1
113574722,21184634,2
68945794,340376505,1
170276973,1557009919,2
153410226,2710541450,1
34172656,340376505,1
249985329,15037961,2
3014154552,700745372,2
384731898,486241691,1
38290921,2105021,2
342065781,261162002,2
162266849,2459169938,1
2470821504,2797371979,1
359236505,2710541450,1
198773386,44496152,2
459768241,20644420,1
359236505,269746147,1
17646796,35466620,1
1690890258,298498586,2
25227822,238128770,1
450414092,23747654,2
359236505,61422376,2
2887048652,286070167,1
24825958,23053753,1
20569411,104086318,1
170276973,340376505,1
446232661,35466620,1
37884446,414621260,1
262389370,24144135,1
2105021,2797371979,1
254941287,3017002076,2
130123715,38106977,1
2437652922,130417544,1
1116121759,590023803,1
26373938,2710541450,1
33824118,105459936,2
193700451,31069840,2
10235202,23395026,1
14389384,2992750166,1
64980891,42542097,1
1580228064,27176695,2
138678027,272701790,1
64980891,14711982,2
2360323201,599185040,1
322484832,226904642,2
342065781,436502521,2
17227586,99233470,1
177086028,413779729,1
2459169938,340376505,1
529090657,376551482,2
110114783,20644420,1
9444022,2105021,1
2831363550,44496152,2
38397609,590023803,1
17227586,23699500,2
260677385,2949949244,1
135132634,176294000,2
1405309777,22871737,2
1240932972,450414092,2
66063257,99233470,1
2360323201,2992750166,1
59699957,20644420,1
66063257,22906120,2
599745022,1695442555,2
2360323201,435515048,1
2691817417,2710541450,1
291612312,73850532,2
714051386,436502521,1
57202693,37292428,2
25807167,17569860,1
38650214,772477398,1
36327171,18096229,1
34760378,99233470,2
2360323201,346492602,1
410748351,278830401,1
22359616,22006180,1
384731898,1523942082,1
374382454,20644420,1
2360323201,614204775,1
376551482,599745022,1
176294000,35466620,1
187138183,23411203,2
413779729,590023803,1
217761175,1677569143,1
79459832,22607317,1
33824118,2273823290,1
514182160,1512607639,1
24825958,16356699,2
116545134,2710541450,1
62208019,187138183,1
29406736,99233470,2
23411203,614204775,1
2437652922,1133477605,1
135132634,23747654,2
1017123967,714051386,1
2360323201,29406736,1
1523942082,267601954,2
2273632160,346491432,2
413779729,160132829,1
410748351,61422376,1
247696871,157996080,1
309579914,779043331,1
152604471,143770402,2
99233470,35084627,2
1000459982,20644420,1
80816781,73850532,1
569870574,1953063710,3
359236505,39935935,2
2941433214,264598651,1
17569860,23411203,1
19580931,1965776832,2
19660722,2949949244,1
359236505,138294089,3
2797758762,44335896,2
29927621,2279758842,2
17569860,55566167,1
1580228064,2710541450,1
3236121,772477398,2
2360323201,2159555124,1
9444022,397153813,1
37292428,538482349,1
2907788046,20644420,1
93115496,2891662632,1
1512607639,19524046,2
48951240,497437094,2
22314584,750772255,1
450414092,1557009919,2
358681085,16329558,2
31069840,450414092,2
26198761,21184634,2
338821106,340376505,1
29927621,1245735506,2
365105604,23053753,1
359236505,1116121759,3
33894316,22310197,1
99233470,898707906,2
1580228064,187138183,2
18096229,19178668,1
1695442555,2483605494,1
14223097,347048522,1
337002546,463523296,1
25805982,71952630,1
22359616,86277690,2
2459169938,269746147,1
22029787,8018342,3
21738556,178183112,2
2360323201,138294089,2
138294089,526411749,2
46076472,2961908465,1
25227822,25805982,2
450414092,340376505,1
2360323201,353533765,1
254941287,1557009919,2
337995180,2710541450,1
264175249,358681085,1
99233470,599745022,1
15374531,20644420,1
2360323201,193109850,1
558279290,375617596,1
9444022,599745022,1
247696871,46818975,1
36608957,19178668,1
826701510,494505475,1
2437652922,2365152944,1
750772255,1240932972,1
24113341,167221856,1
38650214,38106977,1
14711982,23395026,2
446631012,99233470,2
64980891,359236505,2
108241254,2831363550,2
546641586,18794041,2
471721045,1199102480,1
25227822,17335247,2
2360323201,22623059,1
17569860,472892458,1
93115496,272701790,1
19898890,38106977,1
23747654,556661091,1
3236121,83315955,2
160528143,413522813,1
19898890,162900239,1
26452697,431469458,2
151232782,19178668,1
2941433214,2408638574,1
292838364,19178668,1
2710541450,309525229,1
64980891,77182888,2
358681085,22607317,3
64980891,48472438,1
121728542,353533765,1
24669894,590023803,1
1600557554,38106977,1
54805470,99233470,2
38398282,337995180,1
727039754,160132829,1
2437652922,135132634,1
1632123685,486241691,2
2315231857,2570427830,1
41298522,2710541450,1
826701510,1103294161,1
41973345,130417544,1
36951856,152604471,2
752800226,1899850260,1
2941433214,340376505,1
39935935,300641932,1
359236505,599745022,1
2385999008,2710900951,2
116358110,19178668,1
193700451,24825958,2
19898890,561596765,1
19524046,38106977,1
26119836,16329558,2
709105290,1923691058,1
37413076,300870992,2
238768817,1523942082,2
52374272,21552376,2
2344450981,23747654,2
2797758762,714051386,1
331379045,2710541450,1
116545134,590023803,2
193700451,25807167,2
773658752,23935607,2
127025784,22006180,1
144840737,267133998,1
169326150,14711982,1
480300122,322484832,1
309579914,1093638847,1
264598651,297148960,2
217418435,272701790,1
156928816,413522813,3
37532853,340376505,1
26957668,124948370,1
1955720384,1570350235,2
19898890,2797758762,1
99233470,1557009919,2
46076472,1557009919,2
23699500,20644420,1
1955720384,193700451,2
359236505,16947907,2
272701790,2211429150,2
21738556,3236121,1
1593438482,2273823290,1
413779729,20051851,2
19707925,152604471,2
384731898,177437874,1
26112460,556661091,1
178183112,599745022,2
17646796,25807167,2
157948722,298498586,1
15641984,77182888,2
359236505,170276973,2
22859657,51271144,1
2961908465,2587278392,1
590023803,2459169938,2
238103606,20644420,1
21738556,37200824,2
79459832,2797758762,2
55566167,29424561,1
72971775,63070517,2
137611265,412180717,2
252930973,300870992,1
412180717,704903653,2
31076291,35172803,1
18933150,340376505,1
23935607,39935935,1
162266849,138294089,4
162266849,170276973,1
2797758762,320171714,1
275445020,496854680,2
187138183,269746147,2
99233470,340376505,1
2584746324,99233470,1
425480166,92238532,3
750772255,1557009919,1
26979626,35466620,1
20051851,556661091,1
38290921,2402894750,1
15929162,26731498,2
135132634,2360323201,2
358681085,1537918573,2
9444022,340376505,1
43675137,189467550,2
252930973,320171714,1
252930973,1874504276,1
410748351,1240932972,1
2437652922,8532872,1
278830401,2273823290,1
22223971,723931914,2
151412447,2467067887,1
21552376,22906120,2
505651301,340376505,1
14711982,14861476,1
31069840,138559532,1
2360323201,26452697,1
2949949244,23053753,1
1422546212,20644420,1
217761175,270294818,1
826701510,346492602,1
2360323201,446232661,1
1415578772,2273823290,1
135132634,36327171,2
19524046,2710541450,1
406072074,35466620,1
177086028,401875684,1
20569411,19178668,1
19898890,2872417253,2
709105290,281868409,2
2360323201,714051386,2
247696871,2360323201,2
2200418306,25794806,1
298498586,404060390,2
26373938,2210127277,1
1715460890,20644420,1
2105021,29927621,2
1523942082,105459936,2
138559532,272701790,1
130123715,24988494,2
714051386,1059207842,2
167283308,19743434,2
270774535,406835617,1
359236505,1580228064,1
20658917,983376769,2
36327171,2710541450,1
359236505,450414092,2
39935935,26373938,2
26373938,29424561,1
949291260,160132829,1
826701510,73850532,1
217418435,358681085,1
138678027,217418435,1
20569411,35466620,1
27225245,157996080,2
359236505,482583016,3
25227822,138559532,1
153410226,157996080,2
2437652922,9444712,1
135132634,14567099,2
27502152,413779729,2
359236505,2322065402,2
2459169938,236729223,2
376679416,42542097,2
34172656,99233470,2
23411203,19580931,2
237245712,1199102480,1
130123715,180755998,1
826701510,178668778,1
35084627,22607317,1
1059207842,450414092,2
17227586,19524046,1
26989237,340376505,1
181892978,2959270807,2
26119836,2710541450,1
75142659,25271470,1
1409775242,138559532,1
33026792,599745022,1
406075350,84822058,1
217418435,160132829,1
1557009919,44335896,2
267601954,340376505,1
27225245,2273823290,1
15037961,26119836,1
130123715,25227822,2
587291195,482562312,3
127025784,401875684,1
60572195,294340629,1
2949949244,2831363550,2
66063257,113526488,2
19440175,51271144,1
14711982,220616405,2
1512607639,450414092,2
160528143,24113341,2
2105021,1093638847,1
590023803,2402894750,3
1017123967,877115862,3
46076472,413779729,1
26373938,885751759,2
337995180,599745022,1
20658917,358681085,2
327926324,450414092,2
410748351,2281953018,1
2360323201,15641984,1
480300122,192826726,1
410748351,14473703,1
826701510,327926324,1
36951856,73850532,2
14389384,275622946,1
138678027,25227822,1
54522269,590023803,2
24988494,436502521,1
714051386,375617596,1
476350851,14707553,2
322484832,23395026,2
162327572,51271144,1
16896391,1557009919,2
178668778,591728335,2
2322065402,768978024,2
410748351,1557009919,1
139676335,2273823290,1
2360323201,376551482,2
43675137,80816781,2
44496152,23747654,2
19898890,37292428,1
750772255,20644420,1
359236505,16896391,2
27225245,48951240,2
2322065402,2710541450,1
43830965,1580228064,1
599745022,177134723,2
417901178,2975658060,1
359236505,515078963,2
630236717,37104990,2
346491432,2710541450,1
300641932,25869897,1
2322065402,61422376,2
19898890,436502521,2
26459797,24988494,2
1537918573,1557009919,2
244081566,166947848,1
9444022,187138183,1
412967063,48951240,2
590023803,25227822,2
138294089,156928816,1
2360323201,18794041,1
135132634,29178646,2
22840845,54517562,1
413779729,346491432,1
410748351,2322065402,1
135132634,14711982,2
132445467,358681085,1
714051386,719655337,1
198773386,340376505,1
382758717,2710541450,1
21848593,340376505,1
177134723,337995180,1
2459169938,1557009919,2
2360323201,877115862,1
2437652922,15641984,1
53348173,19178668,1
519115078,29406736,1
714051386,340376505,1
436502521,340376505,1
25816086,99233470,2
526411749,450414092,2
3043106869,31069840,2
347048522,14711982,2
2360323201,2459169938,1
1240932972,983376769,2
26459797,590023803,1
135132634,193700451,2
144840737,471589631,1
22840845,709105290,1
47940669,99233470,1
53128314,157996080,1
99233470,91774758,2
26248642,29613877,1
2831363550,1557009919,2
14389384,73850532,2
14473703,21636104,3
298498586,21855539,2
189467550,558279290,1
170276973,769335475,2
39237911,22906120,2
2473092354,2710541450,1
247696871,22116112,2
16947907,169326150,2
17263897,170276973,1
2459169938,450414092,2
480300122,2403260629,2
44496152,99233470,2
359236505,752078492,2
2402894750,157996080,2
24825958,994969160,1
714051386,27225245,2
322484832,189467550,2
193700451,750772255,2
412180717,275622946,1
2459169938,2322065402,2
410748351,23411203,1
162266849,529090657,1
27632737,22906120,2
189467550,37600849,2
17569860,135132634,1
2831363550,340376505,1
27176695,3006153780,1
177086028,1695442555,1
480300122,905966455,1
22871737,331379045,1
410748351,515078963,1
289846547,590023803,1
413779729,21552376,1
359236505,54062781,2
320171714,99233470,2
376679416,77182888,2
359236505,25794695,1
104086318,2710541450,1
347048522,383446627,2
826701510,153753775,1
2437652922,3014112282,1
1580228064,23411203,2
502866773,35172803,1
181892978,1116121759,2
18133726,1965776832,1
298498586,272704749,2
2470821504,77182888,1
378639234,20644420,1
27225245,414621260,2
138294089,19580931,2
1920668550,130417544,1
907734912,375617596,2
501521155,2710541450,1
37659338,458805681,1
2105021,25816086,2
181965556,2344450981,1
2294201833,294340629,2
2459169938,3015585874,3
181892978,22871737,2
262389370,2587278392,1
291612312,340376505,1
388607452,522628807,2
17263897,14567099,2
1537918573,23935607,2
2360323201,22874109,2
46076472,79459832,2
54522269,29424561,1
2459169938,23411203,2
23935607,22607317,1
14711982,44025107,2
252930973,35466620,1
145331030,99233470,1
187138183,20644420,1
2710541450,24988926,1
187482736,270294818,1
104086318,555709757,1
64980891,599745022,1
19898890,44025107,1
55566167,2710541450,2
2105021,1557009919,2
590023803,714051386,2
1913262020,3043106869,1
1937077465,1523549617,1
25807167,177437874,1
24988494,2992750166,1
2105021,169833243,1
112959280,254941287,1
14223097,162900239,1
558279290,48472438,2
2437652922,26459797,1
82241907,152992187,1
79459832,2691817417,2
2360323201,1398605364,1
25807167,309579914,1
599745022,2992750166,1
47862321,496854680,1
154493855,20644420,1
458805681,752078492,2
370329077,275622946,1
14711982,9444022,1
178183112,16356699,2
64980891,1116121759,2
2154218233,2154193748,2
2473092354,1920668550,1
55566167,144840737,1
1899850260,23935607,1
178183112,397153813,2
14711982,340376505,2
193700451,2459169938,2
1405309777,39935935,2
66063257,300870992,1
727039754,436502521,1
238768817,217761175,2
19524046,351399926,1
34472348,590023803,1
187138183,44496152,2
17646796,51271144,1
162266849,2710541450,1
55566167,236729223,1
714051386,60572195,1
342065781,25795054,2
62208019,138294089,1
14389384,2710541450,1
1955720384,347048522,2
2686563469,55566167,1
26373938,590023803,1
174573325,36951856,1
22874109,169326150,2
2360323201,412180717,1
162266849,20658917,1
116358110,17021576,1
412180717,340376505,1
1017123967,599745022,1
1695442555,170276973,1
23699500,599745022,1
338821106,35466620,1
366531168,270294818,2
2322065402,599745022,1
62208019,590023803,1
22874109,130417544,1
2437652922,500478646,1
16896391,2831363550,1
714051386,1245735506,2
412180717,38106977,1
480300122,1849850612,1
410748351,193700451,1
21848593,14711982,2
525075235,376551482,2
27608469,300641932,1
2360323201,189467550,1
41298522,239964366,1
72549881,20644420,1
2473092354,2470821504,1
2360323201,2313317216,1
18096229,99233470,2
77182888,23747654,2
23910994,51271144,1
103845812,1248431851,2
54522269,1693969812,1
23411203,44335896,2
232741193,167221856,1
25975572,226904642,1
239964366,22006180,1
17263897,2831363550,1
86277690,2995021182,2
593577212,99233470,1
1600557554,704903653,2
14473703,450414092,2
2891662632,233294351,3
17569860,2344450981,1
2941433214,885751759,1
53645593,599745022,1
1695442555,42542097,1
2437652922,138294089,1
436502521,397153813,2
36951856,157996080,2
72971775,2710541450,1
20644420,229376260,1
77182888,300870992,1
64980891,340376505,1
538056844,99233470,1
124948370,704903653,1
14223097,169326150,1
2459169938,14711982,2
2437652922,949291260,1
99233470,337995180,2
2202355524,376551482,2
99233470,2975432070,2
769193119,711802766,2
599745022,66063257,2
64980891,2322065402,2
1131146245,240049848,2
590023803,26452697,3
26119836,340376505,1
247696871,33894316,1
130417544,1132200937,1
98605029,46818975,1
79459832,51271144,1
450414092,20644420,1
160132829,1364376428,2
19580931,22607317,2
2437652922,797077016,1
359236505,19707925,2
71416635,599745022,1
177134723,27502152,2
144840737,2385999008,2
2269865773,20644420,1
365105604,160132829,1
821176802,99233470,1
3236121,556661091,1
19743434,146668548,2
14711982,61422376,2
38650214,486241691,2
177134723,2797758762,1
61348039,22607317,2
2322065402,1557009919,2
170276973,350209691,1
1059207842,2584746324,1
14707553,558279290,2
388702412,27176695,1
406835617,66063257,1
138294089,436502521,1
573614242,599745022,2
526411749,99233470,2
34094550,19178668,1
480300122,397153813,2
2360323201,3006153780,1
2437652922,600140001,1
2437652922,34172656,1
714051386,258750822,1
347048522,47862321,1
99233470,147040855,2
769335475,494505475,1
359236505,14473703,1
2402894750,1937077465,2
99233470,769335475,2
714051386,23747654,2
1580228064,169326150,2
291612312,14711982,2
406835617,99233470,1
14567099,36951856,1
247696871,135132634,2
23699500,340376505,1
61348039,2961908465,2
247696871,2797758762,1
990206568,320171714,1
599745022,1557009919,2
402509656,359236505,1
178183112,99233470,2
2322065402,340376505,1
226904642,2710541450,1
514182160,33026792,1
260677385,270294818,1
219552179,309579914,1
14711982,25807167,2
23411203,267601954,2
130123715,1398605364,1
2941433214,1690890258,1
61422376,1557009919,1
337002546,99233470,1
1017123967,2322065402,2
247696871,704903653,1
46076472,2360323201,1
347048522,3017288564,1
26989237,471589631,1
35084627,160132829,2
383603196,719655337,1
260581939,522628807,2
39935935,220616405,2
2360323201,38120739,1
14770241,19178668,1
37600849,14711982,2
138294089,450414092,2
23935607,61348039,1
14567099,21184634,2
